归属,传送门id,锚点坐标,尺寸,坐标集合,,,,,,,,,,,,,,,,
 0xbebd2c953151213d9ddd8b406f31de91077fbbdd ,80000026,7010453, 2x2 ,7010453#7010454#7020453#7020454,,,,,,,,,,,,,,,,
 0xbebd2c953151213d9ddd8b406f31de91077fbbdd ,80000027,5560450, 2x2 ,5560450#5560451#5570450#5570451,,,,,,,,,,,,,,,,
 0xdaca9f1a1e036ac832809f784c2277e86327c7fc ,80000028,5870451, 1x1 ,5870451,,,,,,,,,,,,,,,,
 0xe8d0806fc923b64e6c917ee7f9f7732cd78fabcd ,80000029,6240490, 2x2 ,6240490#6240491#6250490#6250491,,,,,,,,,,,,,,,,
 0xe9aadf1cf9efbfcb770b613a41aaa0f76677ab96 ,80000030,5150446, 1x1 ,5150446,,,,,,,,,,,,,,,,
 0x714df076992f95E452A345cD8289882CEc6ab82F ,80000031,5640464, 4x4 ,5640464#5640465#5640466#5640467#5650464#5650465#5650466#5650467#5660464#5660465#5660466#5660467#5670464#5670465#5670466#5670467,,,,,,,,,,,,,,,,
 0xf1c5dd0fac1005092380cc6c5234274d8ae1f717 ,80000032,5150445, 2x2 ,5150445#5150446#5160445#5160446,,,,,,,,,,,,,,,,
